SetNumber	PartID	Quantity	Colour	Category	DesignID	PartName	ImageURL	SetCount
45544-1	6035364	2	Black	Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross	41897	Tyre Low Wide Ø56 X 28	http://cache.lego.com/media/bricks/5/1/6035364.jpg	3
45544-1	6024581	4	Black	System: Bricks, Special Circles And Angles	11145	Cable 250 Mm	http://cache.lego.com/media/bricks/4/1/6024581.jpg	2
45544-1	6024583	2	Black	System: Bricks, Special Circles And Angles	11146	Cable 350 Mm	http://cache.lego.com/media/bricks/4/1/6024583.jpg	2
45544-1	6024585	1	Black	System: Bricks, Special Circles And Angles	11147	Cable 500 Mm	http://cache.lego.com/media/bricks/4/1/6024585.jpg	2
45544-1	6036901	1	Black	System: Bricks, Special Circles And Angles	10916	USB Cable	http://cache.lego.com/media/bricks/4/1/6036901.jpg	??
45544-1	4112282	4	Black	Technic: Beams	6629	Technic Angular Beam 4X6	http://cache.lego.com/media/bricks/5/1/4112282.jpg	101
45544-1	4142822	2	Black	Technic: Beams	32523	Technic 3M Beam	http://cache.lego.com/media/bricks/5/1/4142822.jpg	160
45544-1	4552347	4	Black	Technic: Beams	60484	T-Beam 3X3 W/Hole Ø4.8	http://cache.lego.com/media/bricks/5/1/4552347.jpg	55
45544-1	4541326	1	Black	Technic: Beams W/ Shapes	64392	Left Panel 5X11	http://cache.lego.com/media/bricks/5/1/4541326.jpg	5
45544-1	4543490	1	Black	Technic: Beams W/ Shapes	64682	Right Panel 5X11	http://cache.lego.com/media/bricks/5/1/4543490.jpg	5
45544-1	4566249	1	Black	Technic: Beams W/ Shapes	87086	Right Panel 3X5	http://cache.lego.com/media/bricks/5/1/4566249.jpg	11
45544-1	4566251	1	Black	Technic: Beams W/ Shapes	87080	Left Panel 3X5	http://cache.lego.com/media/bricks/5/1/4566251.jpg	11
45544-1	4121667	8	Black	Technic: Beams, Special	32184	Double Cross Block	http://cache.lego.com/media/bricks/5/1/4121667.jpg	175
45544-1	4140430	4	Black	Technic: Beams, Special	32291	Technic Cross Block 2X1	http://cache.lego.com/media/bricks/5/1/4140430.jpg	122
45544-1	6006140	4	Black	Technic: Beams, Special	74695	Beam 1X2 W/Cross And Hole	http://cache.lego.com/media/bricks/5/1/6006140.jpg	74
45544-1	370526	4	Black	Technic: Connectors	3705	Cross Axle 4M	http://cache.lego.com/media/bricks/5/1/370526.jpg	867
45544-1	370626	4	Black	Technic: Connectors	3706	Cross Axle 6M	http://cache.lego.com/media/bricks/5/1/370626.jpg	692
45544-1	370726	2	Black	Technic: Connectors	3707	Cross Axle 8M	http://cache.lego.com/media/bricks/5/1/370726.jpg	467
45544-1	370826	2	Black	Technic: Connectors	3708	Cross Axle 12M	http://cache.lego.com/media/bricks/5/1/370826.jpg	326
45544-1	373726	2	Black	Technic: Connectors	3737	Cross Axle 10M	http://cache.lego.com/media/bricks/5/1/373726.jpg	407
45544-1	4107085	4	Black	Technic: Connectors	32013	Angle Element, 0 Degrees [1]	http://cache.lego.com/media/bricks/5/1/4107085.jpg	319
45544-1	4107767	2	Black	Technic: Connectors	32014	Angle Element, 90 Degrees [6]	http://cache.lego.com/media/bricks/5/1/4107767.jpg	121
45544-1	4107783	4	Black	Technic: Connectors	32034	Angle Element, 180 Degrees [2]	http://cache.lego.com/media/bricks/5/1/4107783.jpg	219
45544-1	4121715	60	Black	Technic: Connectors	2780	Connector Peg W. Friction	http://cache.lego.com/media/bricks/5/1/4121715.jpg	1491
45544-1	4198367	4	Black	Technic: Connectors	45590	Damper 2M	http://cache.lego.com/media/bricks/5/1/4198367.jpg	84
45544-1	4652236	2	Black	Technic: Functional Elements	99010	Upper Part For Turntable Z28	http://cache.lego.com/media/bricks/5/1/4652236.jpg	14
45544-1	4177431	2	Black	Technic: Functional Elements, Gear Wheels And Racks	32270	Double Conical Wheel Z12 1M	http://cache.lego.com/media/bricks/5/1/4177431.jpg	216
45544-1	4248204	4	Black	Technic: Functional Elements, Gear Wheels And Racks	32072	Technic Angular Wheel	http://cache.lego.com/media/bricks/5/1/4248204.jpg	65
45544-1	4255563	2	Black	Technic: Functional Elements, Gear Wheels And Racks	32498	Double Conical Wheel Z36	http://cache.lego.com/media/bricks/5/1/4255563.jpg	32
45544-1	6093977	2	Black	Technic: Functional Elements, Gear Wheels And Racks	18575	Double Conical Wheel Z20 1M	http://cache.lego.com/media/bricks/5/1/6093977.jpg	35
45544-1	4177430	2	Black	Technic: Functional Elements, Gear Wheels And Racks	32269	Double bevel gear, 20-tooth	http://cache.lego.com/media/bricks/5/1/4177430.jpg	??
45544-1	4142236	2	Black	Technic: Half Beams	32449	Lever 1X4, Without Notch	http://cache.lego.com/media/bricks/5/1/4142236.jpg	109
45544-1	4162857	4	Black	Technic: Half Beams, Special	41678	Technic Cross Block/Fork 2X2	http://cache.lego.com/media/bricks/5/1/4162857.jpg	103
45544-1	4563044	2	Black	Technic: Half Beams, Special	33299	2X1X3 Steering Knuckle Arm	http://cache.lego.com/media/bricks/5/1/4563044.jpg	74
45544-1	4582792	4	Black	Technic: Tyres And Rims, Special	57519	Sprocket, Ø¸40,7	http://cache.lego.com/media/bricks/5/1/4582792.jpg	9
45544-1	6014648	54	Black	Technic: Tyres And Rims, Special	88323	Track Element, 5X1,5	http://cache.lego.com/media/bricks/5/1/6014648.jpg	5
45544-1	6028041	4	Black	Technic: Tyres And Rims, Special	2815	Tyre For Wedge-Belt Wheel	http://cache.lego.com/media/bricks/5/1/6028041.jpg	48
45544-1	4514554	6	Brick Yellow	Technic: Connectors	32556	3M Connector Peg	http://cache.lego.com/media/bricks/5/1/4514554.jpg	197
45544-1	4666579	8	Brick Yellow	Technic: Connectors	6562	Connector Peg/Cross Axle	http://cache.lego.com/media/bricks/5/1/4666579.jpg	542
45544-1	4565452	2	Brick Yellow	Technic: Functional Elements, Gear Wheels And Racks	6589	Conical Wheel Z12	http://cache.lego.com/media/bricks/5/1/4565452.jpg	122
45544-1	4509376	4	Bright Blue	Technic: Beams	32523	Technic 3M Beam	http://cache.lego.com/media/bricks/5/1/4509376.jpg	31
45544-1	4206482	20	Bright Blue	Technic: Connectors	43093	Conn.Bush W.Fric./Crossale	http://cache.lego.com/media/bricks/5/1/4206482.jpg	1024
45544-1	4514553	30	Bright Blue	Technic: Connectors	6558	Connector Peg W. Friction 3M	http://cache.lego.com/media/bricks/5/1/4514553.jpg	464
45544-1	4141270	6	Bright Red	Technic: Beams	32140	Technic Ang. Beam 4X2 90 Deg	http://cache.lego.com/media/bricks/5/1/4141270.jpg	51
45544-1	4153718	4	Bright Red	Technic: Beams	32523	Technic 3M Beam	http://cache.lego.com/media/bricks/5/1/4153718.jpg	66
45544-1	6008527	2	Bright Red	Technic: Beams, Special	44809	Hto  V Beam 90 Degr.	http://cache.lego.com/media/bricks/5/1/6008527.jpg	2
45544-1	4140806	22	Bright Red	Technic: Connectors	32054	2M Fric. Snap W/Cross Hole	http://cache.lego.com/media/bricks/5/1/4140806.jpg	170
45544-1	4142865	10	Bright Red	Technic: Connectors	32062	2M Cross Axle W. Groove	http://cache.lego.com/media/bricks/5/1/4142865.jpg	816
45544-1	4513174	6	Bright Red	Technic: Connectors	59443	Cross Axle, Extension, 2M	http://cache.lego.com/media/bricks/5/1/4513174.jpg	94
45544-1	4153707	4	Bright Yellow	Technic: Beams	32523	Technic 3M Beam	http://cache.lego.com/media/bricks/5/1/4153707.jpg	56
45544-1	4239601	10	Bright Yellow	Technic: Connectors	32123	1/2 Bush	http://cache.lego.com/media/bricks/5/1/4239601.jpg	267
45544-1	6007973	4	Dark Green	Technic: Beams	32523	Technic 3M Beam	http://cache.lego.com/media/bricks/5/1/6007973.jpg	1
45544-1	4210857	8	Dark Stone Grey	Technic: Beams, Special	42003	Cross Blok 3M	http://cache.lego.com/media/bricks/5/1/4210857.jpg	78
45544-1	4610380	1	Dark Stone Grey	Technic: Beams, Special	92911	Power Joint	http://cache.lego.com/media/bricks/5/1/4610380.jpg	7
45544-1	4499858	2	Dark Stone Grey	Technic: Connectors	55013	Cross Axle 8M With End Stop	http://cache.lego.com/media/bricks/5/1/4499858.jpg	187
45544-1	6083620	2	Dark Stone Grey	Technic: Connectors	87083	Cross Axle 4M With End Stop	http://cache.lego.com/media/bricks/5/1/6083620.jpg	221
45544-1	4514558	4	Dark Stone Grey	Technic: Functional Elements, Gear Wheels And Racks	3648	Gear Wheel Z24	http://cache.lego.com/media/bricks/5/1/4514558.jpg	90
45544-1	6012451	4	Dark Stone Grey	Technic: Functional Elements, Gear Wheels And Racks	10928	Gear Wheel T=8, M=1	http://cache.lego.com/media/bricks/5/1/6012451.jpg	100
45544-1	4587275	4	Dark Stone Grey	Technic: Tyres And Rims, Special	4185	Wedge-Belt Wheel Ø24	http://cache.lego.com/media/bricks/5/1/4587275.jpg	14
45544-1	4634091	2	Medium Stone Grey	Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross	56908	Rim Wide 43,2X26 W 6 Hol.Ø 4.8	http://cache.lego.com/media/bricks/5/1/4634091.jpg	18
45544-1	6008472	2	Medium Stone Grey	Mindstorms: Electric Parts	95648	Ms, Ev3, Touch Sensor	http://cache.lego.com/media/bricks/5/1/6008472.jpg	3
