SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"45560-1",6035364,2,"Black","Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross",41897,"Tyre Low Wide Ø56 X 28","http://cache.lego.com/media/bricks/5/1/6035364.jpg",3
"45560-1",6062225,4,"Black","Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross",44771,"Tyre Low Wide Ø68,8 X 36","http://cache.lego.com/media/bricks/5/1/6062225.jpg",3
"45560-1",403226,4,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",355
"45560-1",4278359,2,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",206
"45560-1",4184286,2,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",44309,"Tyre Normal Wide Ø43,2 X 22","http://cache.lego.com/media/bricks/5/1/4184286.jpg",47
"45560-1",4639695,2,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",89201,"Tyre Low Wide Ø24 X 14","http://cache.lego.com/media/bricks/5/1/4639695.jpg",43
"45560-1",4112282,2,"Black","Technic: Beams",6629,"Technic Angular Beam 4X6","http://cache.lego.com/media/bricks/5/1/4112282.jpg",101
"45560-1",4552347,2,"Black","Technic: Beams",60484,"T-Beam 3X3 W/Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/4552347.jpg",55
"45560-1",4541325,2,"Black","Technic: Beams W/ Shapes",64391,"Right Panel 3X7","http://cache.lego.com/media/bricks/5/1/4541325.jpg",9
"45560-1",4541924,2,"Black","Technic: Beams W/ Shapes",64683,"Left Panel 3X7","http://cache.lego.com/media/bricks/5/1/4541924.jpg",9
"45560-1",4558731,1,"Black","Technic: Beams W/ Shapes",64393,"Right Panel 3X11","http://cache.lego.com/media/bricks/5/1/4558731.jpg",4
"45560-1",4558740,1,"Black","Technic: Beams W/ Shapes",64680,"Right Panel 5X7","http://cache.lego.com/media/bricks/5/1/4558740.jpg",4
"45560-1",4558774,1,"Black","Technic: Beams W/ Shapes",64681,"Left Panel 3X11","http://cache.lego.com/media/bricks/5/1/4558774.jpg",4
"45560-1",4558775,1,"Black","Technic: Beams W/ Shapes",64394,"Left Panel 5X7","http://cache.lego.com/media/bricks/5/1/4558775.jpg",4
"45560-1",4566249,1,"Black","Technic: Beams W/ Shapes",87086,"Right Panel 3X5","http://cache.lego.com/media/bricks/5/1/4566249.jpg",11
"45560-1",4566251,1,"Black","Technic: Beams W/ Shapes",87080,"Left Panel 3X5","http://cache.lego.com/media/bricks/5/1/4566251.jpg",11
"45560-1",6031916,4,"Black","Technic: Beams W/ Shapes",11954,"Bowed Panel 3X11X2 Ø4,85 (X19)","http://cache.lego.com/media/bricks/5/1/6031916.jpg",2
"45560-1",4121667,4,"Black","Technic: Beams, Special",32184,"Double Cross Block","http://cache.lego.com/media/bricks/5/1/4121667.jpg",175
"45560-1",6006140,6,"Black","Technic: Beams, Special",74695,"Beam 1X2 W/Cross And Hole","http://cache.lego.com/media/bricks/5/1/6006140.jpg",74
"45560-1",370526,5,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",867
"45560-1",370626,1,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",692
"45560-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",467
"45560-1",370826,1,"Black","Technic: Connectors",3708,"Cross Axle 12M","http://cache.lego.com/media/bricks/5/1/370826.jpg",326
"45560-1",373726,1,"Black","Technic: Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",407
"45560-1",4107081,22,"Black","Technic: Connectors",32039,"Catch W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4107081.jpg",317
"45560-1",4107082,4,"Black","Technic: Connectors",32016,"Angle Element, 157,5 Degr. [3]","http://cache.lego.com/media/bricks/5/1/4107082.jpg",133
"45560-1",4107084,3,"Black","Technic: Connectors",32015,"Angle Element, 112,5 Degr. [5]","http://cache.lego.com/media/bricks/5/1/4107084.jpg",121
"45560-1",4107085,6,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",319
"45560-1",4107767,2,"Black","Technic: Connectors",32014,"Angle Element, 90 Degrees [6]","http://cache.lego.com/media/bricks/5/1/4107767.jpg",121
"45560-1",4107783,5,"Black","Technic: Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107783.jpg",219
"45560-1",4119589,4,"Black","Technic: Connectors",32138,"Module Bush","http://cache.lego.com/media/bricks/5/1/4119589.jpg",193
"45560-1",4121715,170,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1491
"45560-1",4184169,8,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/4184169.jpg",276
"45560-1",4624645,1,"Black","Technic: Functional Elements",50163,"Turntable Ø4.85","http://cache.lego.com/media/bricks/5/1/4624645.jpg",12
"45560-1",4177431,2,"Black","Technic: Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",216
"45560-1",4540906,2,"Black","Technic: Functional Elements, Gear Wheels And Racks",64781,"Rack 13 M","http://cache.lego.com/media/bricks/5/1/4540906.jpg",7
"45560-1",6093977,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",18575,"Double Conical Wheel Z20 1M","http://cache.lego.com/media/bricks/5/1/6093977.jpg",35
"45560-1",4164133,2,"Black","Technic: Half Beams",41677,"Technic Lever 2M","http://cache.lego.com/media/bricks/5/1/4164133.jpg",135
"45560-1",6030286,4,"Black","Technic: Half Beams",11478,"Lever 5M","http://cache.lego.com/media/bricks/5/1/6030286.jpg",31
"45560-1",4558692,1,"Black","Technic: Half Beams, Special",87408,"Beam 3M Ø4.85 W. Fork","http://cache.lego.com/media/bricks/5/1/4558692.jpg",29
"45560-1",4563044,1,"Black","Technic: Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",74
"45560-1",4582792,2,"Black","Technic: Tyres And Rims, Special",57519,"Sprocket, Ø¸40,7","http://cache.lego.com/media/bricks/5/1/4582792.jpg",9
"45560-1",6014648,5,"Black","Technic: Tyres And Rims, Special",88323,"Track Element, 5X1,5","http://cache.lego.com/media/bricks/5/1/6014648.jpg",5
"45560-1",4207456,1,"Brick Yellow","Technic: Connectors",6538,"Cross Axle, Extension M/3 Ribs","http://cache.lego.com/media/bricks/5/1/4207456.jpg",30
"45560-1",4514554,14,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",197
"45560-1",4666579,6,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",542
"45560-1",4666999,2,"Brick Yellow","Technic: Connectors",99008,"Krydsaksel M/Stop 4M","http://cache.lego.com/media/bricks/5/1/4666999.jpg",28
