Part no.	Brickset-inventory-31313-1.csv	Brickset-inventory-45544-1.csv	Brickset-inventory-45560-1.csv	Part name
70902	0	0	2	V-Belt Ø15, White
70904	0	0	2	V-Belt Ø26, Blue
70905	0	0	2	V-Belt Ø33, Yellow
370526	0	4	5	Cross Axle 4M
370626	9	4	1	Cross Axle 6M
370726	0	2	1	Cross Axle 8M
370826	0	2	1	Cross Axle 12M
373726	0	2	1	Cross Axle 10M
403226	0	0	4	Plate 2X2 Round
611649	0	0	2	Brick 2X2 Round Ii
4100396	1	0	2	V-Belt Ø24  / Clear Red
4107081	0	0	22	Catch W. Cross Hole
4107082	0	0	4	Angle Element, 157,5 Degr. [3]
4107084	0	0	3	Angle Element, 112,5 Degr. [5]
4107085	0	4	6	Angle Element, 0 Degrees [1]
4107767	0	2	2	Angle Element, 90 Degrees [6]
4107783	0	4	5	Angle Element, 180 Degrees [2]
4111998	12	0	0	Double Angular Beam 3X7 45°
4112282	0	4	2	Technic Angular Beam 4X6
4119589	0	0	4	Module Bush
4120017	8	0	0	Technic Ang. Beam 4X2 90 Deg
4121667	0	8	4	Double Cross Block
4121715	95	60	170	Connector Peg W. Friction
4128593	4	0	0	Technic Angular Beam 4X4
4128594	2	0	0	Technic Cross Block 2X1
4128598	17	0	0	Double Cross Block
4140327	12	0	0	Technic Angular Beam 3X7
4140430	0	4	0	Technic Cross Block 2X1
4140806	10	22	0	2M Fric. Snap W/Cross Hole
4141270	0	6	4	Technic Ang. Beam 4X2 90 Deg
4141300	4	0	0	Lt Steering Gear
4142135	10	0	0	Technic 5M Beam
4142236	0	2	0	Lever 1X4, Without Notch
4142822	12	2	0	Technic 3M Beam
4142823	6	0	0	Technic Ang. Beam 3X5 90 Deg.
4142865	12	10	22	2M Cross Axle W. Groove
4143187	2	0	0	Comb Wheel
4153707	0	4	0	Technic 3M Beam
4153718	0	4	2	Technic 3M Beam
4156151	0	4	6	Technic 11M Beam
4162857	0	4	0	Technic Cross Block/Fork 2X2
4164133	0	0	2	Technic Lever 2M
4173941	4	4	1	Bion. Eye
4173975	4	0	0	Technic Cross Block/Fork 2X2
4175442	14	0	0	Cross Blok 3M
4177430	4	2	1	Double bevel gear, 20-tooth
4177431	2	2	2	Double Conical Wheel Z12 1M
4178398	0	0	2	Brick 2X2 Round Ii
4184169	6	0	8	Ball With Friction Snap
4184286	4	0	2	Tyre Normal Wide Ø43,2 X 22
4185661	6	0	2	Bion. Eye
4188298	8	0	0	Cross Block 90°
4189131	1	0	0	Angle Element, 90 Degrees [6]
4189936	4	0	0	Angle Element 135 Deg. [4]
4198367	0	4	0	Damper 2M
4206482	28	20	57	Conn.Bush W.Fric./Crossale
4207456	0	0	1	Cross Axle, Extension M/3 Ribs
4208160	0	0	1	Technic 3M Beam
4210665	0	0	2	Catch
4210759	0	0	2	Comb Wheel
4210857	0	8	4	Cross Blok 3M
4211026	0	0	2	Track Rod 6M,
4211375	6	0	2	Ball W. Cross Axle
4211510	2	2	1	Worm
4211553	2	0	0	Catch W. Cross Hole
4211566	1	0	10	Technic Lever 3M
4211610	0	0	8	Technic Ang. Beam 4X2 90 Deg
4211622	0	10	45	Bush For Cross Axle
4211624	0	4	0	Technic Angular Beam 3X7
4211639	9	6	8	Cross Axle 5M
4211651	0	4	5	Technic 5M Beam
4211655	0	0	10	Technic 3M Beam
4211713	0	2	6	Technic Ang. Beam 3X5 90 Deg.
4211714	0	0	4	Technic Crossblock 2X3
4211741	0	0	1	Technic Lever 2M
4211758	4	0	7	Hub Ø11,2 X 7,84
4211775	0	8	4	Cross Block 90°
4211805	2	5	2	Cross Axle 7M
4211807	4	10	0	Connector Peg
4211815	22	14	12	Cross Axle 3M
4211845	0	0	4	Rim Extra-Wide
4211862	0	0	3	Technic 2M Beam
4211866	0	6	7	Technic 9M Beam
4211888	4	0	0	Module Bush
4225033	12	6	10	Beam 3 M. W/4 Snaps
4227155	9	0	0	Bush For Cross Axle
4234240	0	0	4	Double Angular Beam 3X7 45°
4234429	6	0	0	Angle Element, 180 Degrees [2]
4237267	0	0	2	Gear Wheel Z16-Ø4.9
4239601	11	10	16	1/2 Bush
4246901	2	0	0	Tyre Low Narrow Ø14.58 X 6.24
4248204	4	4	0	Technic Angular Wheel
4254606	4	0	0	Angle Element, 0 Degrees [1]
4255563	5	2	0	Double Conical Wheel Z36
4268659	0	0	2	Lt Cardan Ball
4270473	0	0	1	Technic Change-Over Catch
4278359	0	0	2	Slide Shoe Round 2X2
4278957	0	0	1	Driving Ring
4285634	0	2	2	Gear Wheel 40T
4296059	0	4	4	Angular Beam 90Degr. W.4 Snaps
4297210	0	0	3	Rim Wide W.Cross 30/20
4299389	4	0	0	Rim Wide W.Cross 30/20
4490127	0	0	5	Rim Wide 18/14 W. Cross Ø4.8
4494222	3	0	0	Wedge-Belt Wheel Ø24
4495412	0	4	2	Double Angular Beam 3X7 45°
4495930	0	4	16	Technic 7M Beam
4495935	6	0	0	Technic 7M Beam
4499858	6	2	6	Cross Axle 8M With End Stop
4502595	1	2	0	3-Branch Cross Axle W/Cross H.
4502834	2	0	0	Caterpillar Track
4508553	2	0	4	Cross Axle 5,5  With Stop 1M.
4509376	0	4	0	Technic 3M Beam
4509912	0	6	0	Technic Angular Beam 4X4
4513174	3	6	4	Cross Axle, Extension, 2M
4514553	38	30	33	Connector Peg W. Friction 3M
4514554	4	6	14	3M Connector Peg
4514557	1	0	1	Bevel Gear Z20
4514558	2	4	3	Gear Wheel Z24
4522933	4	0	0	Technic 13M Beam
4522934	0	6	0	Technic 13M Beam
4525184	0	0	1	Differentiale 3M Z 28
4525904	0	0	2	Propeller Shaft
4526985	2	4	2	Tube W/Double Ø4.85
4530733	2	0	0	Track Rod 6M,
4535768	1	2	5	Cross Axle 9M
4538007	2	6	2	Cross Block 3X2
4539880	2	3	9	Beam Frame 5X7 Ø 4.85
4540100	1	0	0	Right Screen Ø 4.85 4X7X4
4540797	2	1	6	Beam R. Frame 5X11 Ø4.85
4540906	0	0	2	Rack 13 M
4541325	0	0	2	Right Panel 3X7
4541326	0	1	0	Left Panel 5X11
4541924	0	0	2	Left Panel 3X7
4542573	4	0	0	Technic 15M Beam
4542578	0	6	13	Technic 15M Beam
4543490	0	1	0	Right Panel 5X11
4544140	0	0	2	V-Belt Ø15, White
4544143	1	0	2	V-Belt Ø 24, Red
4544147	0	0	2	V-Belt Ø26, Blue
4544151	0	0	2	V-Belt Ø33, Yellow
4544720	0	0	4	Nose Cone Small 1X1 - Tr
4545430	3	0	0	Ball Ø16,5
4547581	3	0	0	Left Panel 3X7
4547582	3	0	0	Right Panel 3X7
4552347	4	4	2	T-Beam 3X3 W/Hole Ø4.8
4558690	0	0	2	Cone Wheel Z20 Ø4.85
4558692	1	0	1	Beam 3M Ø4.85 W. Fork
4558731	0	0	1	Right Panel 3X11
4558740	0	0	1	Right Panel 5X7
4558774	0	0	1	Left Panel 3X11
4558775	0	0	1	Left Panel 5X7
4558797	3	0	0	Right Panel 3X11
4558802	3	0	0	Left Panel 3X11
4560175	6	4	2	Double Bush 3M Ø4.9
4560177	4	2	8	Axle with stop, 4-module
4562805	4	0	0	Technic 11M Beam
4563044	0	2	1	2X1X3 Steering Knuckle Arm
4565452	1	2	3	Conical Wheel Z12
4566249	0	1	1	Right Panel 3X5
4566251	0	1	1	Left Panel 3X5
4582792	0	4	2	Sprocket, Ø¸40,7
4585040	0	4	0	Technic Ang. Beam 3X5 90 Deg.
4587275	0	4	0	Wedge-Belt Wheel Ø24
4610374	0	0	2	Cardan Cup With Cross Axle 2M
4610377	0	0	2	Gear Block 3½ 6½X3
4610378	0	0	2	3 Snap Gearblok
4610379	0	0	1	Power Joint Ballpart
4610380	0	1	1	Power Joint
4611705	0	4	6	Technic 11M Beam
4614801	0	0	4	Tire Extra-Wide
4624645	0	0	1	Turntable Ø4.85
4629920	0	0	2	Track Rod 6M,
4629921	2	0	0	Track Rod 6M,
4630114	2	0	0	Cross Block/Form 2X2X2
4631648	0	0	4	Corrugated Pipe 152Mm
4634091	0	2	2	Rim Wide 43,2X26 W 6 Hol.Ø 4.8
4639695	0	0	2	Tyre Low Wide Ø24 X 14
4640536	0	4	0	Gear Wheel Z16
4645732	8	0	0	Technic 9M Beam
4646864	0	0	6	Flat Tile 1X1, Round
4652234	0	0	3	Krydsblok 2X4
4652235	0	2	0	Lower Part For Turntable Z28
4652236	0	2	0	Upper Part For Turntable Z28
4654432	0	0	2	Weapon Barrel
4656205	4	0	0	Blade W. Technic Hole 1
4657296	6	0	0	Sword
4666579	0	8	6	Connector Peg/Cross Axle
4666999	3	0	2	Krydsaksel M/Stop 4M
6005331	0	0	2	Beam 1M W. 2 Cross Axles 90°
6005755	0	0	5	3 Branch Crosshole W. Hole
6006140	10	4	6	Beam 1X2 W/Cross And Hole
6007973	0	4	0	Technic 3M Beam
6008472	1	2	0	Ms, Ev3, Touch Sensor
6008527	0	2	0	Hto  V Beam 90 Degr.
6008577	1	1	0	Ms-Ev3, Medium Motor
6008916	0	1	0	Ms, Ev3, Gyro Sensor
6008919	1	1	0	Ms, Ev3, Sensor, Colour
6008924	0	1	0	Ms-Ev3, Ultrasonic Sensor
6009019	0	4	5	Triangel
6009430	2	2	0	Ms-Ev3, Large Motor
6009811	1	0	0	Ms-Ev3, Ir Sensor
6009996	1	1	0	Ms-Ev3, P-Brick
6012451	0	4	2	Gear Wheel T=8, M=1
6012820	0	1	0	Rechargeable Battery
6013936	4	0	0	Technic Steering-Gear 3M
6013938	0	0	6	1 1/2 M Connecting Bush
6014051	1	0	0	Ms-Ev3, Ir Beacon
6014648	0	54	5	Track Element, 5X1,5
6015596	1	0	0	Right Screen Ø 4.85 4X7X4
6015597	1	0	0	Left Screen Ø 4.85 4X7X4
6022750	0	0	2	Right Panel 2X5 (N0 21)
6022752	0	0	2	Left Panel 2X5 (Nr 22)
6023956	0	1	0	Steel Ball
6024106	1	0	0	Shooter
6024109	1	0	0	Magasine For Balls Ø16.5
6024581	4	4	0	Cable 250 Mm
6024583	2	2	0	Cable 350 Mm
6024585	1	1	0	Cable 500 Mm
6027626	0	0	2	Half Spike Ball
6028041	3	4	0	Tyre For Wedge-Belt Wheel
6030286	0	0	4	Lever 5M
6031821	4	2	16	Crossaxle 3M With Knob
6031916	0	0	4	Bowed Panel 3X11X2 Ø4,85 (X19)
6031962	1	0	1	Bevel Gear Z20
6035364	0	2	2	Tyre Low Wide Ø56 X 28
6036424	0	0	28	Rubber Attachment For Track Element
6036901	1	1	0	USB Cable
6044636	0	0	2	Flex Hose 19M W/3. 18 Stick
6044688	2	0	0	Caterpillar Track
6044729	0	0	1	Rim Narrow Ø18X7 W Hole Ø4.8
6045310	0	0	4	Rim Ø 56 X 34
6062225	0	0	4	Tyre Low Wide Ø68,8 X 36
6063629	0	1	0	Ms-Ev3, Ultrasonic Sensor
