Pointer, 3-module, white	4173941
Connector peg with axle, 2-module, beige	4666579
Connector peg, 3-module, beige	4514554
Axle, 2-module, red	4142865
Connector peg with bushing, 3-module, red	4140806
Connector peg with friction/axle, 2-module, blue	4206482
Connector peg with friction, 3-module, blue	4514553
Bushing, ½-module, yellow	4239601
Axle with stud, 3-module, dark beige	6031821
Bushing, 1-module, gray	4211622
Connector peg with friction, 2-module, black	4121715
Connector peg, 2-module, gray	4211807
Axle with stop, 4-module, dark gray	4560177
Axle with stop, 8-module, dark gray	4499858
Axle, 5-module, gray	4211639
Axle, 7-module, gray	4211805
Axle, 3-module, gray	4211815
Axle, 9-module, gray	4535768
Axle, 8-module, black	370726
Axle, 10-module, black	373726
Axle, 12-module, black	370826
Axle, 4-module, black	370526
Axle, 6-module, black	370626
T-Beam, 3x3-module, black	4552347
Beam, 3-module, black	4142822
Angular beam, 4x6-module, black	4112282
Angular beam, 3x5-module, white	4585040
Angular beam, 4x4-module, white	4509912
Double angular beam, 3x7-module, white	4495412
Beam, 3-module, red	4153718
Angular beam, 2x4-module, red	4141270
Beam, 3-module, blue	4509376
Beam, 3-module, yellow	4153707
Beam, 15-module, white	4542578
Beam, 3-module, green	6007973
Frame, 5x7-module, gray	4539880
Frame, 5x11-module, gray	4540797
Angular beam, 3x5-module, gray	4211713
Beam, 5-module, gray	4211651
Angular beam, 3x7-module, gray	4211624
Beam, 7-module, gray	4495930
Beam, 9-module, gray	4211866
Beam, 11-module, gray	4611705
Beam, 13-module, gray	4522934
Beam with crosshole, 2-module, black	6006140
Connector peg with handle, 3-module, black	4563044
Cross beam, 2x1-module, red	6008527
½ triangle beam, 5x3-module, gray	6009019
Double connector peg, 3-module, gray	4560175
Cross block, 3x2-module, gray	4538007
Double connector peg, 3x3-module, gray	4225033
Cross block, 2-module, gray	4211775
Angular connector peg, 3x3-module, gray	4296059
Cross block, 3-module, dark gray	4210857
Cross block, 2x2-module, black	4140430
Double cross block, 3-module, black	4121667
Cross block fork, 2x2-module, black	4162857
½ beam, 4-module, black	4142236
Angular block 2, 180º, black	4107783
Angular block 1, 0º, black	4107085
Angular block, 6 (90º), black	4107767
Rubber beam with crossholes, 2-module, black	4198367
3-spoke angular block, 3x120º, gray	4502595
Tube, 2-module, gray	4526985
Gear, 8-tooth, dark gray	4514559
Gear, 24-tooth, dark gray	4514558
Gear, 16-tooth, gray	4640536
Bevel gear, 12-tooth, beige	4565452
Bushing/axle extender, 2-module, red	4513174
Turntable bottom, 28-tooth, gray	4652235
Worm gear, gray	4211510
Turntable top, 28-tooth, black	4652236
Gear, 4-tooth, black	4248204
Low profile tire, 56x28 mm, black	6035364
Tire, 30.4x4 mm, black	6028041
Steel Ball, silver metalic	6023956
Hub, 43.2x26 mm, gray	4634091
Ball bearing, dark gray	4610380
Hub, 24x4 mm, dark gray	4587275
Track, 5x1,5-module, black	6014648
Right curved panel, 3x5-module, black	4566249
Left curved panel, 3x5-module, black	4566251
Right curved panel, 5x11-module, black	4543490
Left curved panel, 5x11-module, black	4541326
Sprocket, 40.7x15 mm, black	4582792
Double bevel gear, 12-tooth, black	4177431
Double bevel gear, 20-tooth, black	4177430
Double bevel gear, 36-tooth, black	4255563
Gear, 40-tooth, gray	4285634
Gyro Sensor	6008916
Ultrasonic Sensor	6008924
Color Sensor	6008919
Touch Sensor	6008472
Medium Motor	6008577
Rechargeable Battery	6012820
Large Motor	6009430
EV3 Brick	6009996
USB Cable	6036901
Cable, 25 cm / 10 in.	6024581
Cable, 35 cm / 14 in.	6024583
Cable, 50 cm / 20 in.	6024585

